url,old_price,new_price,Marque,Modèle,Année,Disponible chez,Nombre d'heures moteur,Nombre d'heures batteur,Nombre de secoueurs,Puissance
https://www.ouvrard.com/stock/occasion-2018-horsch-avatar-6sd-4246070-fr-fr.htm,,,Horsch,AVATAR 6SD,2018,6,,,,
https://www.ouvrard.com/stock/occasion-2016-new-holland-t4-95n-4092727-fr-fr.htm,,,New Holland,T4-95N,2016,3520,,,,
https://www.ouvrard.com/stock/occasion-2017-amazone-primera-4182362-fr-fr.htm,,,Amazone,PRIMERA,2017,6,,,,
https://www.ouvrard.com/stock/occasion-2019-amazone-catros+6002-2ts-4222286-fr-fr.htm,,,Amazone,CATROS+6002-2TS,2019,6,,,,
https://www.ouvrard.com/stock/occasion-2015-divers-faresin--ecomix-4092489-fr-fr.htm,,,Divers,FARESIN - ECOMIX,2015,22,,,,
https://www.ouvrard.com/stock/occasion-2011-lucas-qualimix-pro200a-4191174-fr-fr.htm,,,Lucas,QUALIMIX-PRO200A,2011,20,,,,
https://www.ouvrard.com/stock/occasion-2011-kuhn-euromix-4222254-fr-fr.htm,,,Kuhn,EUROMIX,2011,2,,,,
https://www.ouvrard.com/stock/occasion-2013-väderstad-st400s-4277712-fr-fr.htm,,,Väderstad,ST400S,2013,4,,,,
https://www.ouvrard.com/stock/occasion-2018-lucas-autospire-per200-4092518-fr-fr.htm,,,Lucas,AUTOSPIRE-PER200,2018,24,,,,
https://www.ouvrard.com/stock/occasion-2018-kuhn-axis40-2h-emc-4092475-fr-fr.htm,,,Kuhn,AXIS40-2H-EMC,2018,42,,,,
https://www.ouvrard.com/stock/occasion-2017-new-holland-t5-110ec-4337966-fr-fr.htm,,,New Holland,T5-110EC,2017,110,,,,110
https://www.ouvrard.com/stock/occasion-2015-new-holland-cr9-80-4092531-fr-fr.htm,,,New Holland,CR9-80,2015,1410,1410,1080,Rotor,517
https://www.ouvrard.com/stock/occasion-2016-einböck-row-guard-500-4092483-fr-fr.htm,,,Einböck,ROW GUARD 500,2016,6,,,,
https://www.ouvrard.com/stock/occasion-2011-amazone-uf-twin2801gs28-4277703-fr-fr.htm,,,Amazone,UF-TWIN2801GS28,2011,28,,,,
https://www.ouvrard.com/stock/occasion-2017-claas-lexion760-tt-4317593-fr-fr.htm,,,Claas,LEXION760 TT,2017,1333,1333,734,Rotor,543
https://www.ouvrard.com/stock/occasion-2014-huard-optimer+6003-4190068-fr-fr.htm,,,Huard,OPTIMER+6003,2014,6,,,,
https://www.ouvrard.com/stock/occasion-2016-amazone-catros-6100-4092507-fr-fr.htm,,,Amazone,CATROS 6100,2016,6,,,,
https://www.ouvrard.com/stock/occasion-2023-case-ih-quantum100f-4092729-fr-fr.htm,,,Case IH,QUANTUM100F,2023,300,,,,
https://www.ouvrard.com/stock/occasion-2017-emily-melodis100-4182216-fr-fr.htm,,,Emily,MELODIS100,2017,FALSE,,,,
https://www.ouvrard.com/stock/occasion-2019-john-deere-7290r-4317595-fr-fr.htm,,,John Deere,7290R,2019,4 RM,,,,
https://www.ouvrard.com/stock/occasion-2013-krone-easycut-4317585-fr-fr.htm,,,Krone,EASYCUT,2013,3.2,,,,
https://www.ouvrard.com/stock/occasion-2015-pöttinger-hit10-11t-4191178-fr-fr.htm,,,Pöttinger,HIT10-11T,2015,Traîné,,,,
https://www.ouvrard.com/stock/occasion-2015-new-holland-t7-235-4246065-fr-fr.htm,,,New Holland,T7-235,2015,180,,,,180
https://www.ouvrard.com/stock/occasion-2006-new-holland-tm175-4264987-fr-fr.htm,,,New Holland,TM175,2006,175,,,,175
https://www.ouvrard.com/stock/occasion-2018-new-holland-t6-155ac-4092636-fr-fr.htm,,,New Holland,T6-155AC,2018,125,,,,125
https://www.ouvrard.com/stock/occasion-2020-new-holland-t7-260ac-4222276-fr-fr.htm,,,New Holland,T7-260AC,2020,220,,,,220
https://www.ouvrard.com/stock/occasion-2018-sulky-easydrill-4317601-fr-fr.htm,,,Sulky,EASYDRILL,2018,6,,,,
https://www.ouvrard.com/stock/occasion-2020-case-ih-maxxum125-4241895-fr-fr.htm,83 000 €,79 000 €,Case IH,MAXXUM125,2020,125,,,,125
https://www.ouvrard.com/stock/occasion-2019-divers-etril24-4298838-fr-fr.htm,,,Divers,ETRIL24,2019,24,,,,
https://www.ouvrard.com/stock/occasion-2012-hardi-meteor-4092439-fr-fr.htm,,,Hardi,METEOR,2012,5400,,,,
https://www.ouvrard.com/stock/occasion-2019-kuhn-ga8030-4092680-fr-fr.htm,,,Kuhn,GA8030,2019,8,,,,
https://www.ouvrard.com/stock/occasion-2023-case-ih-quantum100f-4297710-fr-fr.htm,,,Case IH,QUANTUM100F,2023,360,,,,
